# BEGIN PLOT
Legend=1
LogY=1
Title=$\pi^{+}$ in p+p at $\sqrt{s_{NN}}=$ 200GeV
XLabel=$p_{T}$(GeV/c)
YLabel=$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$
DrawOnly=/PHENIX_2011_I886590/d01-x01-y01 //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d01-x01-y01
LegendOnly=/PHENIX_2011_I886590/d01-x01-y01 //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d01-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	4.000000e-01	2.770000e+01	1.923538e+00	1.923538e+00
4.000000e-01	5.000000e-01	1.450000e+01	1.004988e+00	1.004988e+00
5.000000e-01	6.000000e-01	7.760000e+00	5.474486e-01	5.474486e-01
6.000000e-01	7.000000e-01	4.390000e+00	3.140064e-01	3.140064e-01
7.000000e-01	8.000000e-01	2.650000e+00	1.923538e-01	1.923538e-01
8.000000e-01	9.000000e-01	1.590000e+00	1.118034e-01	1.118034e-01
9.000000e-01	1.000000e+00	1.010000e+00	7.071068e-02	7.071068e-02
1.000000e+00	1.100000e+00	6.450000e-01	4.632494e-02	4.632494e-02
1.100000e+00	1.200000e+00	4.180000e-01	2.983287e-02	2.983287e-02
1.200000e+00	1.300000e+00	2.760000e-01	1.964688e-02	1.964688e-02
1.300000e+00	1.400000e+00	1.880000e-01	1.360147e-02	1.360147e-02
1.400000e+00	1.500000e+00	1.290000e-01	9.486833e-03	9.486833e-03
1.500000e+00	1.600000e+00	9.070000e-02	6.676077e-03	6.676077e-03
1.600000e+00	1.700000e+00	6.520000e-02	4.808326e-03	4.808326e-03
1.700000e+00	1.800000e+00	4.480000e-02	3.257299e-03	3.257299e-03
1.800000e+00	1.900000e+00	3.450000e-02	2.529822e-03	2.529822e-03
1.900000e+00	2.000000e+00	2.490000e-02	1.802776e-03	1.802776e-03
2.000000e+00	2.100000e+00	1.830000e-02	1.392839e-03	1.392839e-03
2.100000e+00	2.200000e+00	1.370000e-02	1.077033e-03	1.077033e-03
2.200000e+00	2.300000e+00	1.130000e-02	8.544004e-04	8.544004e-04
2.300000e+00	2.400000e+00	8.210000e-03	6.350591e-04	6.350591e-04
2.400000e+00	2.500000e+00	6.730000e-03	5.323533e-04	5.323533e-04
2.500000e+00	2.600000e+00	5.390000e-03	4.441846e-04	4.441846e-04
2.600000e+00	2.700000e+00	4.270000e-03	3.605551e-04	3.605551e-04
2.700000e+00	2.800000e+00	3.020000e-03	2.640076e-04	2.640076e-04
2.800000e+00	2.900000e+00	2.450000e-03	2.202272e-04	2.202272e-04
2.900000e+00	3.000000e+00	1.820000e-03	1.769181e-04	1.769181e-04
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d01-x01-y01
ScaledBy=1.00000000000000000e+00
Title=Rivet_pp200
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	4.000000e-01	nan	nan	nan
4.000000e-01	5.000000e-01	nan	nan	nan
5.000000e-01	6.000000e-01	nan	nan	nan
6.000000e-01	7.000000e-01	nan	nan	nan
7.000000e-01	8.000000e-01	nan	nan	nan
8.000000e-01	9.000000e-01	nan	nan	nan
9.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.100000e+00	nan	nan	nan
1.100000e+00	1.200000e+00	nan	nan	nan
1.200000e+00	1.300000e+00	nan	nan	nan
1.300000e+00	1.400000e+00	nan	nan	nan
1.400000e+00	1.500000e+00	nan	nan	nan
1.500000e+00	1.600000e+00	nan	nan	nan
1.600000e+00	1.700000e+00	nan	nan	nan
1.700000e+00	1.800000e+00	nan	nan	nan
1.800000e+00	1.900000e+00	nan	nan	nan
1.900000e+00	2.000000e+00	nan	nan	nan
2.000000e+00	2.100000e+00	nan	nan	nan
2.100000e+00	2.200000e+00	nan	nan	nan
2.200000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.400000e+00	nan	nan	nan
2.400000e+00	2.500000e+00	nan	nan	nan
2.500000e+00	2.600000e+00	nan	nan	nan
2.600000e+00	2.700000e+00	nan	nan	nan
2.700000e+00	2.800000e+00	nan	nan	nan
2.800000e+00	2.900000e+00	nan	nan	nan
2.900000e+00	3.000000e+00	nan	nan	nan
# END HISTO1D

